GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA21_560: Median total income in 2020 among recipients ($)
4620001.00,CT,0001.00,0.4643,2684,1463,1402,40000
4620002.00,CT,0002.00,0.3858,3780,2022,1944,38400
4620003.00,CT,0003.00,0.7401,6600,3174,3016,36400
4620004.00,CT,0004.00,0.447,3355,1744,1646,40000
4620005.00,CT,0005.00,0.5652,3175,1774,1636,38000
4620006.00,CT,0006.00,0.646,4611,2162,2045,35200
4620007.00,CT,0007.00,1.0901,5655,2997,2867,38800
4620008.00,CT,0008.00,0.6213,3104,1605,1532,44400
4620009.00,CT,0009.00,4.2912,3554,1807,1702,38400
4620010.00,CT,0010.00,0.9271,1494,781,742,40000
4620011.00,CT,0011.00,1.2491,6439,2953,2830,41200
4620012.01,CT,0012.01,0.2378,2547,1343,1285,31800
4620012.02,CT,0012.02,0.3964,4163,2182,2069,32400
4620013.00,CT,0013.00,1.084,5694,3239,3014,42800
4620014.02,CT,0014.02,0.872,0,0,0,
4620014.03,CT,0014.03,0.4106,3363,1861,1778,35600
4620014.04,CT,0014.04,0.4901,4187,2591,2415,47200
4620015.00,CT,0015.00,0.3727,4089,2373,2235,38800
4620016.00,CT,0016.00,0.5129,2470,1317,1214,37600
4620017.00,CT,0017.00,0.2242,2131,1235,1183,38000
4620018.00,CT,0018.00,0.3673,2013,1203,1142,38000
4620019.00,CT,0019.00,0.3318,2398,1454,1340,34800
4620021.00,CT,0021.00,0.4497,3028,1734,1578,32000
4620022.00,CT,0022.00,0.1704,1527,914,849,38000
4620023.00,CT,0023.00,0.361,1238,725,676,36000
4620024.00,CT,0024.00,0.2777,2544,1474,1395,35200
4620025.00,CT,0025.00,0.2233,3018,1646,1530,37600
4620026.00,CT,0026.00,0.1748,2519,1604,1511,38000
4620027.00,CT,0027.00,0.095,1629,992,921,38000
4620028.00,CT,0028.00,0.1572,2058,1217,1159,40800
4620029.00,CT,0029.00,0.4016,4027,2224,2115,38400
4620030.00,CT,0030.00,0.3017,3506,2215,2064,37200
4620031.00,CT,0031.00,0.2574,2803,1648,1558,36000
4620032.00,CT,0032.00,0.1229,1497,1043,951,36800
4620033.00,CT,0033.00,0.1533,1752,1053,977,34000
4620034.00,CT,0034.00,0.2141,2825,1653,1525,34400
4620035.00,CT,0035.00,0.1815,2015,1198,1139,35600
4620036.00,CT,0036.00,0.1857,2103,1297,1208,38000
4620037.00,CT,0037.00,0.5,3452,2271,2144,32800
4620038.00,CT,0038.00,0.2104,1976,1054,957,31200
4620039.00,CT,0039.00,0.4738,2142,1424,1311,38800
4620040.00,CT,0040.00,2.1693,0,0,0,
4620041.00,CT,0041.00,0.2583,1814,1128,1042,35200
4620042.00,CT,0042.00,0.1026,1145,850,742,40800
4620043.00,CT,0043.00,0.3527,1385,895,802,39600
4620044.00,CT,0044.00,0.1363,2164,1398,1264,37200
4620045.00,CT,0045.00,0.1175,1493,1080,947,33600
4620046.00,CT,0046.00,0.159,2143,1384,1287,39200
4620047.00,CT,0047.00,0.1185,728,421,393,35600
4620048.00,CT,0048.00,0.1403,2302,1422,1290,38800
4620049.00,CT,0049.00,0.1642,1399,863,757,33600
4620050.00,CT,0050.00,0.0706,1364,787,717,32000
4620051.00,CT,0051.00,0.214,1907,1346,1093,36800
4620052.00,CT,0052.00,0.1393,2208,1410,1217,31600
